,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time,cluster
5185,1712707318.133015,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1234.0,1226.0,,0,0.005728006362915,0.005728006362915,2
5186,1712707318.133097,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1238.0,1230.0,,0,8.20159912109375e-05,8.20159912109375e-05,2
5187,1712707318.133103,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1238.0,1230.0,,0,5.960464477539063e-06,5.960464477539063e-06,2
5188,1712707318.133112,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1238.0,1230.0,,0,9.059906005859377e-06,9.059906005859377e-06,2
5189,1712707318.133118,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1238.0,1230.0,,0,5.960464477539063e-06,5.960464477539063e-06,2
5190,1712707318.133123,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,1238.0,1230.0,,0,5.0067901611328125e-06,5.0067901611328125e-06,2
5191,1712707318.133132,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,178.0,170.0,,0,9.059906005859377e-06,9.059906005859377e-06,1
5192,1712707318.140167,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,35.0,27.0,,0,0.0070350170135498,0.0139000415802001,1
5193,1712707318.140181,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,31.0,23.0,,0,1.4066696166992188e-05,1.4066696166992188e-05,1
5194,1712707318.140181,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,31.0,23.0,,0,0.0,0.0,1
5195,1712707318.140181,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,31.0,23.0,,0,0.0,0.0,1
5196,1712707318.167999,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,40.0,32.0,,0,0.027817964553833,0.0348670482635498,1
5197,1712707318.235502,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,43.0,35.0,,0,0.0675029754638671,0.0953209400177002,1
5198,1712707318.236477,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,60819.0,443.0,43.0,35.0,,0,0.0009748935699462,0.0684778690338134,1
5199,1712707318.26545,2,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,60819.0,32.0,24.0,,0,0.02897310256958,0.0299479961395263,1
5200,1712707318.722876,4,,,,,,,,0,0.4574260711669922,,0
5201,1712707319.644426,4,,,,,,,,0,0.9215500354766846,,0
5202,1712707320.236451,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1700:1420:3b60::1,57024.0,53.0,56.0,48.0,edge-web.dual-gslb.spotify.com.,1,0.5920248031616211,2.2140729427337646,0
5203,1712707320.245113,2,2600:1700:1420:3b60::1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,53.0,57024.0,72.0,64.0,edge-web.dual-gslb.spotify.com.,1,0.0086619853973388,1.9796628952026367,1
5204,1712707320.253797,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,65033.0,443.0,483.0,451.0,,0,0.0086841583251953,2.017320156097412,1
5205,1712707320.26032,1,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,65033.0,32.0,0.0,,0,0.0065228939056396,0.0152070522308349,1
5206,1712707320.347453,1,35.186.224.36,192.168.1.81,443.0,65020.0,487.0,435.0,,0,0.0871331691741943,12.865432024002075,1
5207,1712707320.347815,1,192.168.1.81,35.186.224.36,65020.0,443.0,52.0,0.0,,0,0.0003619194030761,30.18924593925476,1
5208,1712707320.387481,2,192.168.1.81,192.168.1.255,57621.0,57621.0,72.0,44.0,,0,0.039665937423706,27.236145973205566,1
5209,1712707320.394168,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.0066869258880615,2.4924299716949463,2
5210,1712707320.394213,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,956.0,948.0,,0,4.506111145019531e-05,4.506111145019531e-05,2
5211,1712707320.394483,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.000270128250122,0.000270128250122,1
5212,1712707320.398959,1,192.168.1.81,35.186.224.36,65020.0,443.0,168.0,116.0,,0,0.0044758319854736,0.0511438846588134,1
5213,1712707320.400514,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,56375.0,38.0,30.0,,0,0.0015549659729003,0.1401939392089843,1
5214,1712707320.400515,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,56375.0,39.0,31.0,,0,1.1920928955078125e-06,1.1920928955078125e-06,1
5215,1712707320.401975,2,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0014598369598388,0.0074918270111083,1
5216,1712707320.404346,1,35.186.224.36,192.168.1.81,443.0,65020.0,52.0,0.0,,0,0.002371072769165,0.0568928718566894,1
5217,1712707320.432413,1,2607:f8b0:4023:1004::5f,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,65049.0,105.0,73.0,,0,0.0280671119689941,0.031898021697998,1
5218,1712707320.432577,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2607:f8b0:4023:1004::5f,65049.0,443.0,32.0,0.0,,0,0.0001637935638427,14.233295917510986,1
5219,1712707320.43273,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2607:f8b0:4023:1004::5f,65049.0,443.0,32.0,0.0,,0,0.0001530647277832,0.0001530647277832,1
5220,1712707320.457074,1,2600:1901:1:c36::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,65033.0,750.0,718.0,,0,0.0243439674377441,0.0246608257293701,2
5221,1712707320.457224,1,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:c36::,65033.0,443.0,32.0,0.0,,0,0.0001499652862548,0.2034268379211425,1
5222,1712707320.459532,2,2600:1901:1:e71::,2600:1700:1420:3b60:e46c:b485:479d:6b1a,443.0,56375.0,338.0,330.0,,0,0.0023081302642822,0.0024580955505371,1
