,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time
3855,1712707185.911774,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,41.0,33.0,,0,0.0003268718719482422,0.0061168670654296875
3857,1712707185.970945,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,45.0,37.0,,0,0.00039196014404296875,0.05917096138000488
3864,1712707187.867584,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,1234.0,1226.0,,0,0.3098490238189697,1.896639108657837
3865,1712707187.867862,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,706.0,698.0,,0,0.0002779960632324219,0.0002779960632324219
3868,1712707187.910518,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,40.0,32.0,,0,0.009968042373657227,0.04265594482421875
3870,1712707187.912908,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,41.0,33.0,,0,0.00030303001403808594,0.002390146255493164
3872,1712707187.948287,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56498.0,443.0,45.0,37.0,,0,0.0007579326629638672,0.03537893295288086
3889,1712707189.107679,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.011035919189453125,1.1593918800354004
3891,1712707189.116239,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0016641616821289062,0.0085601806640625
3892,1712707189.11653,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.00029087066650390625,0.00029087066650390625
3893,1712707189.116533,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,931.0,923.0,,0,3.0994415283203125e-06,3.0994415283203125e-06
3897,1712707189.124719,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,40.0,32.0,,0,0.000125885009765625,0.008185863494873047
3902,1712707189.169875,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0002448558807373047,0.045156002044677734
3908,1712707189.192038,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0003180503845214844,0.02216315269470215
3909,1712707189.19346,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0014219284057617188,0.0014219284057617188
3939,1712707195.744254,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.7088251113891602,6.5507941246032715
3941,1712707195.754002,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0019230842590332031,0.009747982025146484
3943,1712707195.826282,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0008809566497802734,0.0722799301147461
4030,1712707217.644738,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,65027.0,443.0,20.0,0.0,,0,0.2885298728942871,21.818455934524536
4033,1712707218.192354,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,65028.0,443.0,20.0,0.0,,0,0.22135496139526367,0.5476160049438477
4043,1712707219.34321,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.006723880767822266,1.1508560180664062
4044,1712707219.343245,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,965.0,957.0,,0,3.504753112792969e-05,3.504753112792969e-05
4045,1712707219.343568,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.0003230571746826172,0.0003230571746826172
4048,1712707219.348012,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,40.0,32.0,,0,0.00018906593322753906,0.0044438838958740234
4050,1712707219.353535,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0016739368438720703,0.005522966384887695
4054,1712707219.414564,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0004928112030029297,0.06102895736694336
4059,1712707219.476487,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0003418922424316406,0.06192302703857422
4061,1712707219.47864,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0015811920166015625,0.002153158187866211
4090,1712707222.745079,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.008238077163696289,3.2664389610290527
4093,1712707222.752433,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.0010919570922851562,0.007354021072387695
4094,1712707222.752441,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,937.0,929.0,,0,7.867813110351562e-06,7.867813110351562e-06
4097,1712707222.760939,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.001687765121459961,0.008497953414916992
4102,1712707222.80467,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.00023818016052246094,0.0437312126159668
4109,1712707222.836623,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.00021791458129882812,0.031952857971191406
4110,1712707222.838086,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0014629364013671875,0.0014629364013671875
4193,1712707229.340581,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.3127419948577881,6.502495050430298
4195,1712707229.351237,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.001950979232788086,0.010656118392944336
4198,1712707229.406498,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,44.0,36.0,,0,0.0010399818420410156,0.05526089668273926
4200,1712707229.422777,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.009341955184936523,0.016278982162475586
4201,1712707229.422979,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,962.0,954.0,,0,0.000202178955078125,0.000202178955078125
4204,1712707229.430281,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0009579658508300781,0.007301807403564453
4207,1712707229.500072,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.0004711151123046875,0.06979107856750488
4208,1712707229.501438,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0013659000396728516,0.0013659000396728516
4329,1712707252.984869,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.0018210411071777344,23.483431100845337
4330,1712707252.984903,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,972.0,964.0,,0,3.409385681152344e-05,3.409385681152344e-05
4331,1712707252.985111,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.0002079010009765625,0.0002079010009765625
4334,1712707252.992396,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0016560554504394531,0.007285118103027344
4338,1712707253.05237,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.00043702125549316406,0.059973955154418945
4345,1712707253.394509,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.0009181499481201172,0.34213900566101074
4346,1712707253.396416,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0019068717956542969,0.0019068717956542969
4364,1712707256.436447,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.009374856948852539,3.0400309562683105
4366,1712707256.443582,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0017180442810058594,0.007135152816772461
4367,1712707256.444474,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.0008919239044189453,0.0008919239044189453
4368,1712707256.444485,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,938.0,930.0,,0,1.0967254638671875e-05,1.0967254638671875e-05
4370,1712707256.451546,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0016930103302001953,0.007061004638671875
4377,1712707256.503236,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.00031304359436035156,0.051690101623535156
4381,1712707256.525908,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.00024390220642089844,0.022671937942504883
4384,1712707256.527365,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0010230541229248047,0.0014569759368896484
4435,1712707262.874208,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,65027.0,443.0,20.0,0.0,,0,0.49116992950439453,6.346843004226685
4437,1712707262.984122,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.10236215591430664,0.10991406440734863
4439,1712707262.991983,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0019068717956542969,0.007860898971557617
4441,1712707263.052154,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.001032114028930664,0.06017112731933594
4450,1712707263.193494,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,65028.0,443.0,20.0,0.0,,0,0.058669090270996094,0.14134001731872559
4557,1712707286.732441,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.007537841796875,23.538946866989136
4558,1712707286.732458,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,944.0,936.0,,0,1.71661376953125e-05,1.71661376953125e-05
4559,1712707286.732704,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.00024580955505371094,0.00024580955505371094
4562,1712707286.738607,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0007088184356689453,0.005903005599975586
4564,1712707286.742101,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0011789798736572266,0.0034940242767333984
4569,1712707286.803721,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.0005810260772705078,0.06161999702453613
4575,1712707286.822669,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.00018596649169921875,0.018948078155517578
4576,1712707286.824163,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0014939308166503906,0.0014939308166503906
4624,1712707290.141921,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.008602142333984375,3.317758083343506
4626,1712707290.149459,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.0011529922485351562,0.007537841796875
4627,1712707290.149463,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,952.0,944.0,,0,4.0531158447265625e-06,4.0531158447265625e-06
4630,1712707290.160139,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.001569986343383789,0.010676145553588867
4636,1712707290.203703,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.0002999305725097656,0.0435638427734375
4642,1712707290.226706,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.0002601146697998047,0.023003101348876953
4643,1712707290.228172,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0014660358428955078,0.0014660358428955078
4674,1712707296.731563,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,73.0,65.0,,0,0.7407641410827637,6.5033910274505615
4676,1712707296.743712,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0019080638885498047,0.012148857116699219
4680,1712707296.801006,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.0010330677032470703,0.05729413032531738
4682,1712707296.8175,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,1233.0,1225.0,,0,0.007502079010009766,0.016494035720825195
4683,1712707296.817686,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,966.0,958.0,,0,0.00018596649169921875,0.00018596649169921875
4685,1712707296.826643,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.0016679763793945312,0.0089569091796875
4689,1712707296.914782,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,45.0,37.0,,0,0.0005071163177490234,0.08813905715942383
4690,1712707296.916108,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,41.0,33.0,,0,0.001325845718383789,0.001325845718383789
4717,1712707307.974245,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,65027.0,443.0,20.0,0.0,,0,0.49222397804260254,11.05813717842102
4722,1712707308.171061,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,118.0,110.0,,0,0.00034499168395996094,0.19681596755981445
4723,1712707308.171201,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,132.0,124.0,,0,0.0001399517059326172,0.0001399517059326172
4724,1712707308.171281,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,299.0,291.0,,0,8.0108642578125e-05,8.0108642578125e-05
4729,1712707308.177554,17.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,56375.0,443.0,40.0,32.0,,0,0.00031185150146484375,0.006272792816162109
4734,1712707308.19262,6.0,2600:1700:1420:3b60:e46c:b485:479d:6b1a,2600:1901:1:e71::,65027.0,443.0,32.0,0.0,,0,0.0003669261932373047,0.015066146850585938
