,time,protocol,src_ip,dst_ip,src_port,dst_port,length,payload_size,query_name,spotify_or_not,interarrival_time,dst_interarrival_time
83,1713821926.683215,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,57969.0,53.0,50.0,42.0,pixel-static.spotify.com.,1,0.00012087821960449219,0.00012087821960449219
84,1713821926.683263,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,50637.0,53.0,50.0,42.0,pixel-static.spotify.com.,1,4.8160552978515625e-05,4.8160552978515625e-05
85,1713821926.683311,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,65282.0,53.0,50.0,42.0,pixel-static.spotify.com.,1,4.792213439941406e-05,4.792213439941406e-05
86,1713821926.683412,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,64664.0,53.0,43.0,35.0,pixel.spotify.com.,1,0.0001010894775390625,0.0001010894775390625
87,1713821926.683461,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,53238.0,53.0,43.0,35.0,pixel.spotify.com.,1,4.887580871582031e-05,4.887580871582031e-05
88,1713821926.683495,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,65142.0,53.0,43.0,35.0,pixel.spotify.com.,1,3.409385681152344e-05,3.409385681152344e-05
89,1713821926.683675,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,56197.0,53.0,36.0,28.0,pl.scdn.co.,0,0.0001800060272216797,0.0001800060272216797
90,1713821926.683734,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,61567.0,53.0,36.0,28.0,pl.scdn.co.,0,5.888938903808594e-05,5.888938903808594e-05
91,1713821926.683778,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,50723.0,53.0,36.0,28.0,pl.scdn.co.,0,4.410743713378906e-05,4.410743713378906e-05
92,1713821926.683828,17.0,2603:8000:b9f0:30a0:d1b2:cc66:8f1b:b1fb,2603:8000:b9f0:30a0::1,59127.0,53.0,49.0,41.0,guc3-dealer.spotify.com.,1,5.0067901611328125e-05,5.0067901611328125e-05
